,Provider ID,ZIP Code,Phone Number
0,10005.0,35957,2565938310
1,10012.0,35968,2568453150
2,10032.0,36278,2563572111
3,10095.0,36744,3346243024
4,10131.0,35801,2568823100
5,11304.0,36904,2054599100
6,20018.0,99559,9075436300
7,21308.0,99762,9074433311
8,21309.0,99576,9078425201
9,21310.0,99752,9074423321
10,30071.0,86504,9287298000
11,30073.0,86045,9282832501
12,30074.0,85634,5203627003
13,30077.0,85542,9284751200
14,30084.0,86503,9286747001
15,31305.0,86042,9287376000
16,31308.0,85147,5205623321
17,31309.0,86505,9287554541
18,40007.0,72205,5015523000
19,40018.0,72956,4794743401
20,40050.0,71701,8708361000
21,40154.0,72032,5015852000
22,41324.0,72110,5019772300
23,41328.0,71653,8702655351
24,50054.0,92220,9518451121
25,50103.0,90033,3232685000
26,50138.0,90027,3237834011
27,50145.0,93940,8316245311
28,50224.0,92663,9497644624
29,50280.0,96001,5302256102
30,50309.0,95661,9167811000
31,50488.0,94546,5105371234
32,50547.0,95431,7079386000
33,50567.0,92691,9493641400
34,50684.0,92585,9516798888
35,50717.0,90242,5624017022
36,51310.0,95490,7074563031
37,51317.0,95422,7079946486
38,53302.0,90027,3236692164
39,53306.0,92691,9493652408
40,61325.0,81641,9708785047
41,61326.0,80863,7196879999
42,70006.0,6904,2032761000
43,70029.0,6010,8605853000
44,80003.0,19805,3024214100
45,100054.0,32578,8506784131
46,100137.0,33837,8634224971
47,100183.0,33134,3054458461
48,100204.0,32605,3523334100
49,100209.0,33175,3052233000
50,100244.0,33990,2395742323
51,21301.0,99686,9078352249
52,21304.0,99833,9077724291
53,21307.0,99574,9074248000
54,110030.0,30120,7703878182
55,110038.0,31792,2292282880
56,110041.0,30535,7067542161
57,110128.0,30474,9125355828
58,111313.0,31024,7064852711
59,111335.0,31310,9123699438
60,113301.0,30342,4047855252
61,120028.0,96743,8088854444
62,130013.0,83686,2084635000
63,140007.0,60435,8157257133
64,131323.0,83340,2087278800
65,140002.0,62002,6184637300
66,140015.0,62301,2172235811
67,140018.0,60608,7732576751
68,140052.0,62002,6184652571
69,140118.0,60406,7085972000
70,140191.0,60426,7083332300
71,140210.0,62946,6182537671
72,140258.0,60007,8474375500
73,140286.0,60115,8157561521
74,141302.0,61036,8157771340
75,141306.0,62088,6186352200
76,141328.0,62982,6182856634
77,141346.0,62471,6182831231
78,141349.0,62286,6184432177
79,143300.0,60611,7738804000
80,143301.0,60649,7733636700
81,150069.0,47250,8128010105
82,150089.0,47303,7657473111
83,150128.0,46227,3178877000
84,160089.0,52501,6416827511
85,161377.0,52544,6414374111
86,170166.0,67950,6206972141
87,171303.0,67839,6203975321
88,171312.0,67029,6205822144
89,171318.0,67361,6207253115
90,171322.0,67878,6203847461
91,171324.0,67870,6206492761
